Symbol,Report Date,Interest,Profit before tax,Net Profit,EPS
AGSTRA,01-Mar-21,133,82,55,4.55
AGSTRA,01-Mar-22,250,-67,-82,-6.79
AHLEAST,01-Mar-11,0,37,31,
AHLEAST,01-Mar-12,0,36,28,16.26
AHLEAST,01-Mar-13,31,8,1,6.22
AHLEAST,01-Mar-14,49,-18,-24,-4.35
AHLEAST,01-Mar-15,52,-33,-39,-12.73
AHLEAST,01-Mar-16,38,-6,-7,3.74
AHLEAST,01-Mar-17,19,0,-4,-2.02
AHLEAST,01-Mar-18,16,-2,-6,-3.31
AHLEAST,01-Mar-19,14,10,4,2.05
AHLEAST,01-Mar-20,14,1,-8,-4.34
AHLEAST,01-Mar-21,14,-33,-33,-19.06
AHLEAST,01-Mar-22,15,-35,-34,-19.94
AHLUCONT,01-Mar-11,24,109,72,11.47
AHLUCONT,01-Mar-12,31,-48,-46,-7.39
AHLUCONT,01-Mar-13,37,-71,-71,-11.36
AHLUCONT,01-Mar-14,39,22,22,3.46
AHLUCONT,01-Mar-15,39,67,64,9.56
AHLUCONT,01-Mar-16,35,119,84,12.6
AHLUCONT,01-Mar-17,27,131,86,12.84
AHLUCONT,01-Mar-18,25,175,115,17.23
AHLUCONT,01-Mar-19,19,179,117,17.51
AHLUCONT,01-Mar-20,35,97,64,9.61
AHLUCONT,01-Mar-21,43,103,77,11.52
AHLUCONT,01-Mar-22,44,208,155,23.17
AHLWEST,01-Jun-09,0,-1,-1,
AHLWEST,01-Mar-10,0,15,10,8.81
AHLWEST,01-Mar-11,12,23,17,14.75
AHLWEST,01-Mar-12,22,11,5,7.3
AHLWEST,01-Mar-13,21,-1,-7,-2.32
AHLWEST,01-Mar-14,25,-20,-22,-16.58
AHLWEST,01-Mar-15,95,-88,-87,-62.03
AHLWEST,01-Mar-16,96,-64,-61,-44.13
AHLWEST,01-Mar-17,102,-31,-31,-27.26
AHLWEST,01-Mar-18,91,-10,-11,-7.53
AHLWEST,01-Mar-19,90,38,74,64.23
AHLWEST,01-Mar-20,107,9,1,0.85
AIAENG,01-Mar-11,4,246,184,19.44
AIAENG,01-Mar-12,8,253,181,19.13
AIAENG,01-Mar-13,10,291,212,22.35
AIAENG,01-Mar-14,10,460,326,34.45
AIAENG,01-Mar-15,8,594,431,45.69
AIAENG,01-Mar-16,8,641,457,48.44
AIAENG,01-Mar-17,8,662,457,48.43
AIAENG,01-Mar-18,11,585,444,47
AIAENG,01-Mar-19,11,694,511,54.16
AIAENG,01-Mar-20,10,719,590,62.59
AIAENG,01-Mar-21,8,730,566,60.02
AIAENG,01-Mar-22,8,781,620,65.7
AICHAMP,01-Mar-11,8.79,0.05,-0.02,
AICHAMP,01-Mar-12,10.7,1.46,1.27,
AICHAMP,01-Mar-13,11.05,0.85,0.92,0.37
AICHAMP,01-Mar-14,10.24,0.96,1.2,0.44
AICHAMP,01-Mar-15,13.13,-6.68,-4.32,-1.58
AICHAMP,01-Mar-16,13.66,-9.97,-5.47,-1.99
AICHAMP,01-Mar-17,13.01,-10.18,-8.04,-2.93
AICHAMP,01-Mar-18,11.77,2.45,2,0.65
AICHAMP,01-Mar-19,10.51,1.33,1.79,0.58
AICHAMP,01-Mar-20,6.56,0.45,-0.21,-0.07
AICHAMP,01-Mar-21,5.9,-17.25,-17.43,-5.67
AICHAMP,01-Mar-22,5.85,-7.18,-3.35,-1.07
AIFL,01-Mar-14,13,13,9,4.46
AIFL,01-Mar-15,12,21,12,4.87
AIFL,01-Mar-16,12,23,16,6.69
AIRAN,01-Mar-17,1,3,2,0.92
AIRAN,01-Mar-18,1,7,5,2.03
AIRAN,01-Mar-19,1,6,4,0.33
AIRAN,01-Mar-20,1,8,7,0.54
AIRAN,01-Mar-21,1,8,6,0.47
AIRAN,01-Mar-22,0,12,10,0.77
AIROLAM,01-Mar-20,2,6,5,3.19
AIROLAM,01-Mar-21,2,8,5,3.64
AIROLAM,01-Mar-22,3,9,7,4.37
AJANTPHARM,01-Mar-11,18,56,51,3.84
AJANTPHARM,01-Mar-12,15,91,77,5.85
AJANTPHARM,01-Mar-13,19,177,112,8.49
AJANTPHARM,01-Mar-14,9,330,234,17.75
AJANTPHARM,01-Mar-15,6,456,310,23.47
AJANTPHARM,01-Mar-16,5,559,416,31.49
AJANTPHARM,01-Mar-17,1,648,507,38.4
AJANTPHARM,01-Mar-18,0,623,469,35.5
AJANTPHARM,01-Mar-19,1,514,387,29.56
AJANTPHARM,01-Mar-20,12,664,468,35.73
AJANTPHARM,01-Mar-21,8,900,654,50.38
AJANTPHARM,01-Mar-22,10,909,713,55.63
AJMERA,01-Mar-11,16,27,25,6.61
AJMERA,01-Mar-12,2,44,42,10.91
AJMERA,01-Mar-13,4,20,16,4.37
AJMERA,01-Mar-14,4,23,17,4.57
AJMERA,01-Mar-15,17,33,26,7.24
AJMERA,01-Mar-16,31,59,46,11.95
AJMERA,01-Mar-17,36,83,66,18.37
AJMERA,01-Mar-18,46,106,84,23.19
AJMERA,01-Mar-19,50,94,76,21.2
AJMERA,01-Mar-20,66,43,33,9.22
AJMERA,01-Mar-21,58,41,31,8.51
AJMERA,01-Mar-22,59,62,46,12.79
AJRINFRA,01-Mar-11,100,26,22,0.23
AJRINFRA,01-Mar-12,156,-11,-22,-0.34
AJRINFRA,01-Mar-13,297,17,25,0.2
AJRINFRA,01-Dec-13,219,-55,-56,-0.77
AJRINFRA,01-Sep-14,207,-61,-40,-0.43
AJRINFRA,01-Mar-16,644,-170,-204,-2.18
AJRINFRA,01-Mar-17,309,-94,-122,-1.1
AJRINFRA,01-Mar-18,340,-170,-186,-1.55
AJRINFRA,01-Mar-19,361,-265,-210,-1.65
AJRINFRA,01-Mar-20,383,27,15,0.71
AJRINFRA,01-Mar-21,255,-245,-277,-2.48
AJRINFRA,01-Mar-22,261,-951,-957,-9.8
AKASH,01-Mar-12,1.18,2.83,1.43,1.51
AKASH,01-Mar-13,3.28,8.1,7.49,7.88
AKASH,01-Mar-14,4.01,10.53,9.77,10.28
AKASH,01-Mar-15,2.63,5.41,5.43,5.72
AKASH,01-Mar-16,1.98,4.45,3.68,3.87
AKASH,01-Mar-17,1.81,5.64,4.51,2.97
AKASH,01-Mar-18,2.84,2.7,2.03,1.34
AKASH,01-Mar-19,3.21,1.9,1.72,1.02
AKASH,01-Mar-20,2.92,0.77,0.62,0.37
AKASH,01-Mar-21,3.58,1.27,1.15,0.68
