Symbol,Series,Face Value,Purpose,From,Ex-date,Multiplier
BHARATGEAR,EQ,10,Rights 1:10 @ Premium Rs 95/-,02-Apr-19,28-Oct-21,1.5555
BHARATGEAR,EQ,10,Bonus 1:2,28-Oct-21,27-Sep-22,1.5
BHARTIARTL,EQ,5,Rights 19:67 @ Premium Rs 215 Per Share,31-Dec-10,23-Apr-19,1.108602
BHARTIARTL,EQ,5,Rights 1:14 @ Premium Rs 530/-,23-Apr-19,27-Sep-21,1.018
BHEL,EQ,2,Face Value Split From Rs.10/- To Rs.2/-,31-Dec-10,03-Oct-11,7.5
BHEL,EQ,2,Bonus 1:2,03-Oct-11,28-Sep-17,1.5
BIGBLOC,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,15-Nov-21,5
BILENERGY,EQ,1,Face Value Split From Rs.10/- To Re. 1/-,31-Dec-10,26-Mar-13,20
BILENERGY,EQ,1,Bonus 1:1,26-Mar-13,11-Jan-18,2
BILPOWER,EQ,10,Bonus 1:1,31-Dec-10,04-Oct-12,2
BIOCON,EQ,5,Bonus 2:1,31-Dec-10,15-Jun-17,6
BIOCON,EQ,5,Bonus 1:1,15-Jun-17,12-Jun-19,2
BLS,EQ,1,Face Value Split From Rs 10/- Per Share To Re 1/- Per Share,31-Dec-10,26-Apr-17,40
BLS,EQ,1,Bonus 1:1,26-Apr-17,13-May-22,4
BLS,EQ,1,Bonus 1:1,13-May-22,08-Dec-22,2
BOMDYEING,EQ,2,Face Value Split From Rs.10/- To Rs.2/-,31-Dec-10,30-Oct-12,5
BORORENEW,EQ,1,Bonus 3:1,31-Dec-10,02-Aug-18,4
BPCL,EQ,10,Annual General Meeting/ Dividend Rs 11/- Per Share/ Bonus 1:1,31-Dec-10,13-Jul-12,6
BPCL,EQ,10,Bonus 1:1,13-Jul-12,13-Jul-16,3
BPCL,EQ,10,Bonus 1:2,13-Jul-16,13-Jul-17,1.5
BRIGADE,EQ,10,Bonus 1:2,31-Dec-10,28-Aug-19,1.5
BRITANNIA,EQ,1,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share,31-Dec-10,29-Nov-18,2
BROOKS,EQ,10,Rights 9:20 @ Premium Rs 10/-,31-Dec-10,11-Feb-20,1.199
BSE,EQ,2,Bonus 2:1,31-Dec-10,21-Mar-22,3
BSLIMITED,EQ,1,Bonus 1:1,31-Dec-10,30-Sep-13,20
BSLIMITED,EQ,1,Face Value Split From Rs 10/- To Re 1/-,30-Sep-13,21-Jan-14,10
BSOFT,EQ,2,Bonus 1:1,31-Dec-10,13-Mar-12,2
CANBK,EQ,10,Rights 1:10 @ Prem Rs 197/- Per Share,31-Dec-10,17-Feb-17,1.028
CANFINHOME,EQ,2,Rights 3:10 @ Premium Rs 440/- Per Share,31-Dec-10,23-Jan-15,5.44
CANFINHOME,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,23-Jan-15,12-Oct-17,5
CAPLIPOINT,EQ,2,Fv Splt Frm Rs 10 To Rs 2,31-Dec-10,19-Oct-16,5
CARBORUNIV,EQ,1,Face Value Split From Rs.2/- To Re.1/-,31-Dec-10,05-Oct-11,2
CASTEXTECH,EQ,2,Bonus 1:1,31-Dec-10,21-Nov-11,2
CASTROL,EQ,10,Bonus 1:1,31-Dec-10,04-Sep-12,2
CASTROLIND,EQ,5,Bonus 1:1,31-Dec-10,21-Dec-17,2
CCL,EQ,2,Bonus 1:1 And Face Value Split From Rs.10/- To Rs.2/-,31-Dec-10,19-Aug-13,10
