Symbol,Series,Face Value,Purpose,From,Ex-date,Multiplier
PNBGILTS,EQ,10,Bonus 1:3,31-Dec-10,03-Jul-13,1.333333333
PNCINFRA,EQ,2,Face Value Split From Rs 10 To Rs 2,31-Dec-10,12-Aug-16,5
POKARNA,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,18-Oct-17,5
POLYMED,EQ,5,Bonus 1:1,31-Dec-10,09-Jul-13,8
POLYMED,EQ,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,09-Jul-13,02-Feb-15,4
POLYMED,EQ,5,Bonus 1:1,02-Feb-15,24-Mar-17,2
POWERGRID,EQ,10,Bonus 1:3,31-Dec-10,29-Jul-21,1.333333333
PRADIP,EQ,10,Bonus 1:5,31-Dec-10,12-Feb-13,1.2
PRAKASHSTL,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,31-Dec-10,03-Mar-16,10
PRAXIS,EQ,5,Rights 11:8 @ Premium Rs 6.35/-,31-Dec-10,07-Sep-21,1.839
PRECOT,EQ,10,Bonus 1:2,31-Dec-10,03-Oct-13,1.5
PRECWIRE,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,31-Dec-10,21-Mar-16,15
PRECWIRE,EQ,1,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share,21-Mar-16,22-Dec-21,7.5
PRECWIRE,EQ,1,Bonus 1:2,22-Dec-21,22-Dec-22,1.5
PRICOLLTD,EQ,1,Rights 2:7 @ Premium Rs 29/-,31-Dec-10,24-Nov-20,1.125
PTL,EQ,1,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share,31-Dec-10,23-Dec-21,2
PVR,EQ,10,Rights 7:94 @ Premium Rs 774/-,31-Dec-10,09-Jul-20,1.018
RADIOCITY,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,20-Feb-19,6.25
RADIOCITY,EQ,2,Bonus 1:4,20-Feb-19,12-Mar-20,1.25
RAIN,EQ,2,Face Value Split From Rs.10/- To Rs.2/-,31-Dec-10,15-Jun-11,5
RAJMET,EQ,10,Bonus 1:2,31-Dec-10,02-Sep-21,2.25
RAJMET,EQ,1,Bonus 1:2,02-Sep-21,15-Sep-22,1.5
RAJPALAYAM,EQ,10,Final Dividend Rs.7.50 Per Share And Special Dividend Rs.7.50 Per Share/Bonus 1:1 (Purpose Revised),31-Dec-10,13-Jul-11,2
RAJRAYON,EQ,1,Face Value Split From Rs 10 To Re 1,31-Dec-10,04-Mar-13,10
RAJTV,EQ,5,Bonus 1:1 / Face Value Split From Rs.10/- To Rs.5/-,31-Dec-10,25-Mar-14,4
RALLIS,EQ,1,Face Value Split From Rs.10/- To Re.1/-,31-Dec-10,15-Jul-11,10
RAMASTEEL,EQ,1,Bonus 4:1/Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,31-Dec-10,14-Mar-16,250
RAMASTEEL,EQ,1,Bonus 4:1,14-Mar-16,25-Aug-22,25
RAMASTEEL,EQ,1,Bonus 4:1,25-Aug-22,06-Jan-23,5
RAMCOSYS,EQ,10,Rights 1:2 @ Premium Rs.145/- Per Equity Share,31-Dec-10,22-Apr-14,1.049
RAMRAT,EQ,5,Bonus 1:1,31-Dec-10,28-Sep-22,2
RASOYPR,EQ,1,Bonus 2:1 / Face Value Split From Rs. 5/- To Re. 1/-,31-Dec-10,21-Mar-13,15
RATNAMANI,EQ,2,Bonus 1:2,31-Dec-10,30-Jun-22,1.5
RECLTD,EQ,10,Bonus 1:1,31-Dec-10,28-Sep-16,2.666666667
RECLTD,EQ,10,Bonus 1:3,28-Sep-16,17-Aug-22,1.333333333
REDINGTON,EQ,2,Bonus 1:1,31-Dec-10,18-Aug-21,2
REFEX,EQ,10,Rights 5:14@ Premium Rs 35/-,31-Dec-10,16-Jun-20,1.032
RELAXO,EQ,1,Face Value Split From Rs.5/- To Re.1/-,31-Dec-10,22-Nov-13,20
RELAXO,EQ,1,Bonus 1:1,22-Nov-13,01-Jul-15,4
RELAXO,EQ,1,Bonus 1:1,01-Jul-15,26-Jun-19,2
RELIANCE,EQ,10,Bonus 1:1,31-Dec-10,07-Sep-17,2.018
RELIANCE,EQ,10,Rights 1:15 @ Premium Rs 1247,07-Sep-17,13-May-20,1.009
RELMEDIA,EQ,5,Rights 13:4 @ Premium Rs.35 Per Share,31-Dec-10,23-Jul-13,1.071
RITES,EQ,10,Bonus 1:4,31-Dec-10,08-Aug-19,1.25
RPPINFRA,EQ,10,Rights 3:5 @ Premium Rs 20/-,31-Dec-10,17-Sep-21,1.325
RSSOFTWARE,EQ,5,Interim Dividend - Rs 1.50/- Per Share / Face Value Split - From Rs 10/- Per Share To Rs 5/- Per Share (Purpose Revised),31-Dec-10,21-Jan-15,2
RSWM,EQ,10,Rights 1:1 @ Premium Rs 90/-,31-Dec-10,16-Dec-22,1.56
RSYSTEMS,EQ,1,Face Value Split From Rs 10/- To Re 1/- Per Share,31-Dec-10,26-Feb-14,10
RUBYMILLS,EQ,5,Face Value Split From Rs 10 To Rs 5,31-Dec-10,22-Nov-12,8
RUBYMILLS,EQ,5,Bonus 1:1,22-Nov-12,21-Oct-15,4
RUBYMILLS,EQ,5,Bonus 1:1,21-Oct-15,23-Sep-22,2
RUCHIRA,EQ,10,Bonus 1:10,31-Dec-10,10-Oct-22,1.1
RUSHIL,EQ,10,Rights 1:3 @ Premium Rs 40/-,31-Dec-10,10-Sep-20,1.145
SAGARDEEP,EQ,10,Bonus 1:2,31-Dec-10,05-Oct-20,1.5
SAGCEM,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,17-Aug-21,5
SAKUMA,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,31-Dec-10,12-Nov-18,10
SALASAR,EQ,1,Bonus 1:1,31-Dec-10,13-Jul-21,2
SANWARIA,EQ,1,Bonus 1:1,31-Dec-10,07-Apr-11,4
SANWARIA,EQ,1,Bonus 1:1,07-Apr-11,03-Jul-17,2
SARLAPOLY,EQ,1,Face Value Split From Rs 10 To Re 1 (Record Date Revised),31-Dec-10,29-Oct-15,10
SATIA,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,31-Dec-10,15-Oct-19,10
SATIN,EQ,10,Rights 48:125 @ Premium Rs 50/-,31-Dec-10,04-Aug-20,1.067
SBBJ,EQ,10,Rights 2:5 @ Premium Of Rs 380 Per Share,31-Dec-10,16-Mar-11,1.03
SBC,EQ,1,Bonus 1:1,31-Dec-10,22-Feb-22,2
SBCL,EQ,2,Bonus 1:2,31-Dec-10,12-Oct-22,1.5
SBIN,EQ,1,Face Value Split Rs.10/- To Re.1/- Per Share,31-Dec-10,20-Nov-14,10
SBT,EQ,10,Rights 1:5 @ Premium Rs 390/- Per Share,31-Dec-10,03-Mar-15,1.048
SDBL,EQ,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,31-Dec-10,15-Oct-20,2.02
SDBL,EQ,5,Rights 1:13@ Premium Rs 30/-,15-Oct-20,31-Dec-21,1.01
SECURCRED,EQ,10,Bonus 3:1,31-Dec-10,04-Jan-23,4
SECURKLOUD,EQ,5,Bonus 1:3/Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,31-Dec-10,10-Oct-16,2.666666667
SESHAPAPER,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,19-Aug-19,5
SETUINFRA,EQ,1,Face Value Split From Rs 10 To Re 1,31-Dec-10,13-Dec-12,10
SFL,EQ,5,Bonus 1:1,31-Dec-10,21-Dec-22,2
SHALPAINTS,EQ,2,Face Value Split From Rs 10 To Rs 2,31-Dec-10,22-Nov-12,6.95106
SHALPAINTS,EQ,2,Rights 6:32 @ Premium Rs 138/-,22-Nov-12,28-Dec-17,1.390212
SHALPAINTS,EQ,2,Rights 3:2 @ Premium Rs 62.50/-,28-Dec-17,06-Nov-18,1.314
SHARDAMOTR,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,16-Apr-21,5
SHARONBIO,EQ,2,Bonus 1:1 / Face Value Split From 10/- To Face Value 2/-,31-Dec-10,20-Feb-14,10
SHILPAMED,EQ,1,Annual General Meeting / Dividend - Rs 1.30/- Per Share / Bonus 1:2,31-Dec-10,16-Jul-13,3
SHILPAMED,EQ,1,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share,16-Jul-13,06-Nov-15,2
SHILPI,EQ,10,Bonus 1:1,31-Dec-10,16-Sep-14,2
SHIVAMAUTO,EQ,2,Face Value Split From Rs.10/- To Rs.2/-,31-Dec-10,30-Oct-14,10.74074074
SHIVAMAUTO,EQ,2,Bonus 1: 1,30-Oct-14,08-Oct-15,2.148148148
SHIVAMAUTO,EQ,2,Rights 2:9 @ Premium Rs 16/-,08-Oct-15,09-Dec-21,1.074074074
SHOPERSTOP,EQ,5,Face Value Split From Rs.10/- To Rs.5/-,31-Dec-10,12-Jan-11,2.112
SHOPERSTOP,EQ,5,Rights 17:70 @ Premium Rs 135/-,12-Jan-11,19-Nov-20,1.056
SHRENIK,EQ,1,Bonus 2:1/Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share,31-Dec-10,08-Oct-20,6
SHRENUJ,EQ,2,Annual General Meeting / Dividend - Re 0.60/- Per Share / Bonus 1 : 1,31-Dec-10,15-Jul-14,2
SIGNET,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 1/- Per Share,31-Dec-10,17-Aug-15,10
SIKKO,EQ,10,Bonus 1:2,31-Dec-10,28-Oct-22,1.5
SINTEX,EQ,1,Dividend - Re 0.70/- Per Share/ Right 26:151,31-Dec-10,08-Aug-16,1.017
SIS,EQ,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,31-Dec-10,15-Jan-20,2
SIYSIL,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,25-Oct-17,5
SMSPHARMA,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,31-Dec-10,17-Dec-15,10
SOLARINDS,EQ,2,Fv Splt Frm Rs 10 To Rs 2,31-Dec-10,13-Jul-16,5
SONAMCLOCK,EQ,10,Bonus 1:1,31-Dec-10,14-Jul-22,2
SONATSOFTW,EQ,1,Bonus 1:3,31-Dec-10,08-Sep-22,1.333333333
SOUISPAT,EQ,1,Annual General Meeting And Face Value Split From Rs.10/- To Re.1/-,31-Dec-10,22-Sep-14,10
SOUTHBANK,EQ,1,Rights 1:3 @ Premium Rs 13/- Per Share,31-Dec-10,16-Feb-17,1.105
SPARC,EQ,1,Rights 1: 7@ Premium Rs 66 Per Share,31-Dec-10,23-Aug-12,1.022096
SPARC,EQ,1,Rights 5: 116 At Premium Rs 244/- Per Share,23-Aug-12,16-Mar-16,1.006
SPENCERS,EQ,5,Rights 2:15 @ Premium Rs 70/-,31-Dec-10,28-Jul-20,1.011
SPYL,EQ,1,Face Value Split From Rs.10 To Re.1,31-Dec-10,10-Apr-13,10
SREINFRA,EQ,10,Bonus 4:5 (Pursuant To Scheme Of Amalgamation),31-Dec-10,10-Feb-11,1.8
SRF,EQ,10,Bonus 4:1,31-Dec-10,13-Oct-21,5
SRSLTD,EQ,10,Bonus 1:1,31-Dec-10,25-Jun-15,2
SRTRANSFIN,EQ,10,Rights 3:26 @ Premium Rs 560/-,31-Dec-10,09-Jul-20,1.026
SSWL,EQ,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,31-Dec-10,18-Nov-21,2
STAMPEDE,EQ,1,Bonus 1:4,31-Dec-10,10-Jan-17,1.25
STERTOOLS,EQ,2,Fv Splt Frm Rs 10 To Rs 2,31-Dec-10,09-Jan-17,5
SUDARSCHEM,EQ,2,Bonus 1 : 1 / Face Value Split From Rs 10/- To Rs 2/- Per Share,31-Dec-10,30-Sep-14,10
SUJANATOW,EQ,1,Face Value Split From Rs.5/- To Re.1/-,31-Dec-10,10-Jan-11,5
SUMEETINDS,EQ,10,Rights 3:7 @ Premium Rs 14/-,31-Dec-10,15-Dec-17,1.35
SUMEETINDS,EQ,10,Bonus 1:4,15-Dec-17,02-Aug-18,1.25
SUNDARAM,EQ,1,Bonus 2:1,31-Dec-10,13-Apr-12,3
SUNDARMFIN,EQ,10,Bonus 1:1,31-Dec-10,13-Dec-12,2
SUNDARMHLD,EQ,5,Rights 23:49 @ Premium Rs 45/-,31-Dec-10,26-Apr-21,1.125
SUNILHITEC,EQ,1,Bonus 1:1/Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,31-Dec-10,01-Dec-16,20
SUNPHARMA,EQ,1,Bonus 1:1,31-Dec-10,29-Jul-13,2
SUNTECK,EQ,1,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Rs 1/- Per Share,31-Dec-10,25-Jul-17,2
SURANASOL,EQ,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,31-Dec-10,25-Nov-14,2
SURANAT&P,EQ,1,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share,31-Dec-10,25-Nov-14,5
SUTLEJTEX,EQ,1,Bonus 1:2,31-Dec-10,27-Jun-13,15
SUTLEJTEX,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,27-Jun-13,26-Sep-17,10
SUULD,EQ,10,Bonus 1:1,31-Dec-10,30-Mar-22,2
SUVEN,EQ,1,Rights 1:2 @ Premium Rs 54/-,31-Dec-10,17-Oct-22,1.085
SUVENPHAR,EQ,1,Bonus 1:1,31-Dec-10,25-Sep-20,2
SUZLON,EQ,2,Rights 5:21 @ Premium Rs 3/-,31-Dec-10,03-Oct-22,1.089
SWANENERGY,EQ,1,Face Value Split From Rs 2/- To Re 1/-,31-Dec-10,03-Feb-14,2
SWELECTES,EQ,10,Bonus 1:2,31-Dec-10,22-Aug-19,1.5
SYMPHONY,EQ,2,Face Value Split Rs.10/- To Rs.2/-,31-Dec-10,15-Feb-12,10
SYMPHONY,EQ,2,Bonus 1:1,15-Feb-12,14-Sep-16,2
SYNGENE,EQ,10,Bonus 1:1,31-Dec-10,11-Jun-19,2
TATACOFFEE,EQ,1,Face Value Split (Sub-Division): From Rs 10/- Per Share To Re 1/- Per Share,31-Dec-10,23-Jan-15,10
TATAELXSI,EQ,10,Bonus 1:1,31-Dec-10,18-Sep-17,2
TATAMOTORS,EQ,2,Face Value Split From Rs.10/- To Rs.2/-,31-Dec-10,12-Sep-11,5.05
TATAMOTORS,EQ,2,Rights 6:109 @ Premium Rs. 448/- Per Share,12-Sep-11,06-Apr-15,1.01
TATAMTRDVR,EQ,2,Face Value Split From Rs.10/- To Rs.2/-,31-Dec-10,12-Sep-11,5.05
TATAMTRDVR,EQ,2,Rights 6:109 @ Premium Rs.269/- Per Share,12-Sep-11,06-Apr-15,1.01
TATAPOWER,EQ,1,Face Value Split From Rs.10/- To Re.1/-,31-Dec-10,26-Sep-11,10.36
TATAPOWER,EQ,1,Rights 7:50 @ Premium Rs.59/- Per Equity Share,26-Sep-11,19-Mar-14,1.036
TATASTEEL,EQ,1,Rights - 4:25 Fully Paid Up Shares @ Premium Rs 500/- Per Share / 2:25 Partly Paid Up Shares @ Premium Rs 605/- Per Share,31-Dec-10,31-Jan-18,1.049
TCS,EQ,1,Bonus 1:1 /Dividend- Rs 29 Per Share,31-Dec-10,31-May-18,2
TECHM,EQ,5,Bonus 1:1 / Face Value Split - From Rs 10/- Per Share To Rs 5/- Per Share,31-Dec-10,19-Mar-15,4
TECHNO,EQ,2,Bonus 1:1,31-Dec-10,06-Sep-16,2
TEMBO,EQ,10,Rights 9:25 @ Premium Rs 90/-,31-Dec-10,08-Aug-22,1.13
TEXRAIL,EQ,1,Rights 19:100 @ Premium Rs 45.70/-,31-Dec-10,24-Sep-19,1.109808
TEXRAIL,EQ,1,Rights 2:7 @ Premium Rs 22/-,24-Sep-19,21-Oct-21,1.101
TFL,EQ,10,Rights 1:1,31-Dec-10,04-Nov-22,1.09
THEBYKE,EQ,10,Bonus 1:1,31-Dec-10,09-Oct-14,2
TIDEWATER,EQ,2,Bonus 1:1/Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,31-Dec-10,16-Mar-16,20
TIDEWATER,EQ,2,Bonus 1:1/Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 2/- Per Share,16-Mar-16,26-Jul-21,5
TIRUMALCHM,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,31-Dec-10,14-Aug-18,10
TIRUPATIFL,EQ,2,Bonus 3:4/Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,07-Oct-21,8.75
TITAN,EQ,1,Bonus 1:1 / Face Value Split From Rs.10/- To Re.1/-,31-Dec-10,23-Jun-11,20
TORNTPHARM,EQ,5,Bonus 1:1,31-Dec-10,23-Jul-13,4
TORNTPHARM,EQ,5,Bonus 1:1,23-Jul-13,08-Jul-22,2
TPLPLASTEH,EQ,2,Bonus 1:1,31-Dec-10,16-Sep-21,2
TRENT,EQ,1,Face Value Split From Rs 10 To Re 1,31-Dec-10,12-Sep-16,10
TRIDENT,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 1/- Per Share,31-Dec-10,13-Dec-19,10
TRIL,EQ,1,Bonus 1:9,31-Dec-10,13-Jun-13,11.11111111
TRIL,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,13-Jun-13,28-Sep-17,10
TTKPRESTIG,EQ,1,Bonus 1:5,31-Dec-10,15-May-19,12
TTKPRESTIG,EQ,1,Face Value Split (Sub-Division) - From Rs 10 Per Share To Re 1 Per Share,15-May-19,14-Dec-21,10
TTML,EQ,10,Bonus 2:15,31-Dec-10,07-Aug-13,1.133333333
TULSI,EQ,10,Bonus 1:10 (Record Date Revised),31-Dec-10,07-Jan-11,1.1
TV18BRDCST,EQ,2,Rights 41:11 @ Premium Rs.18/- Per Share,31-Dec-10,14-Sep-12,1.16
TWL,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,23-Apr-15,5
UJAAS,EQ,1,Face Value Split From Rs 10 To Re 1,31-Dec-10,21-Dec-12,10
UNIENTER,EQ,2,Rights 173:100 @ Premium Rs.15/- Per Share,31-Dec-10,18-Sep-13,1.009
UNIPLY,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,25-Jun-18,5
UPL,EQ,2,Bonus 1:2,31-Dec-10,02-Jul-19,1.5
URJA,EQ,1,Rights 7:71 @ Premium Rs 4/-,31-Dec-10,14-Jan-21,1.044
UTTAMSUGAR,EQ,10,Rights 12:25 @ Premium Rs.12/- Per Share,31-Dec-10,05-Sep-12,1.039
VAIBHAVGBL,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,07-May-21,5
VAKRANGEE,EQ,1,Bonus 1:1 And Face Value Split From Rs.10/- To Re.1/-,31-Dec-10,12-Apr-12,40
VAKRANGEE,EQ,1,Bonus 1:1,12-Apr-12,21-Dec-17,2
VALIANTORG,EQ,10,Bonus 1:1,31-Dec-10,24-Dec-20,2
VASCONEQ,EQ,10,Rights 14:19 @ Premium Rs 5/- Per Share,31-Dec-10,23-Jun-15,1.002
VASWANI,EQ,10,Bonus 1:4,31-Dec-10,29-Sep-11,1.25
VBL,EQ,10,Bonus 1:2,31-Dec-10,25-Jul-19,3.375
VBL,EQ,10,Bonus 1:2,25-Jul-19,10-Jun-21,2.25
VBL,EQ,10,Bonus 1:2,10-Jun-21,06-Jun-22,1.5
VENKEYS,EQ,10,Bonus 1:2,31-Dec-10,21-Dec-15,1.5
VGUARD,EQ,1,Face Value Split From Rs 10 To Re 1,31-Dec-10,30-Aug-16,14
VGUARD,EQ,1,Bonus 2:5,30-Aug-16,15-Mar-17,1.4
VIJIFIN,EQ,1,Fv Splt Frm Rs 10 To Re 1,31-Dec-10,25-Oct-16,11
VIJIFIN,EQ,1,Bonus 1:10,25-Oct-16,04-Aug-17,1.1
VIKASECO,EQ,1,Face Value Split From Rs 10/- To Re 1/-,31-Dec-10,27-Mar-14,40.280625
VIKASECO,EQ,1,Bonus 3 : 2,27-Mar-14,13-Nov-14,4.0280625
VIKASECO,EQ,1,Rights 13:10 @ Premium Rs 0.35/-,13-Nov-14,09-Jun-21,1.611225
VIKASECO,EQ,1,Rights 12:25@ Premium Rs 0.60/-,09-Jun-21,24-Nov-21,1.155
VIKASLIFE,EQ,1,Rights 2:5 @ Premium Re 0.85/-,31-Dec-10,20-May-21,1.1983
VIKASLIFE,EQ,1,Rights 4:21 @ Premium Rs 1.80/-,20-May-21,29-Oct-21,1.042
VINATIORGA,EQ,1,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Rs 1/- Per Share,31-Dec-10,05-Feb-20,2
VIPCLOTHNG,EQ,2,Rights 1:4 @ Premium Rs 24/-,31-Dec-10,17-Nov-17,1.133
VIPIND,EQ,2,Face Value Split From Rs.10/- To Rs.2/-,31-Dec-10,31-Oct-11,5
VISESHINFO,EQ,1,Face Value Split From Rs 10 To Re 1,31-Dec-10,03-Jan-13,11
VISESHINFO,EQ,1,Bonus 1 : 10,03-Jan-13,07-Mar-13,1.1
VISHAL,EQ,5,Bonus 1:2,31-Dec-10,16-Dec-20,4.5
VISHAL,EQ,5,Bonus 2:1,16-Dec-20,10-Mar-22,3
VISHWARAJ,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,21-Oct-21,5
VIVIDHA,EQ,1,Bonus 10:1,31-Dec-10,28-May-15,14.66666667
VIVIDHA,EQ,1,Bonus 1:3,28-May-15,30-Mar-16,1.333333333
VIVIMEDLAB,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,06-Apr-16,5
VKSPL,EQ,1,Face Value Split From Rs 10 To Re 1,31-Dec-10,27-Feb-13,35
VKSPL,EQ,1,Bonus 5:2,27-Feb-13,03-May-13,3.5
VSSL,EQ,10,Rights 2:3 @ Premium Rs 40/-,31-Dec-10,07-Apr-17,1.374
VTMLTD,EQ,1,Face Value Split From Rs.10/- To Re.1/-,31-Dec-10,16-Aug-12,10
WABAG,EQ,2,Face Value Split From Rs.5/- To Rs.2/-,31-Dec-10,16-Aug-11,5
WABAG,EQ,2,Bonus 1 : 1,16-Aug-11,26-Mar-15,2
WELSPUNIND,EQ,1,Interim Div - Rs 6/- Per Share + Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,31-Dec-10,21-Mar-16,10
WHEELS,EQ,10,Rights 51:20 @ Premium Rs.390/- Per Equity Share,31-Dec-10,13-Feb-14,3.608
WHEELS,EQ,10,Bonus 1:1,13-Feb-14,08-Aug-18,2
WIPRO,EQ,2,Bonus 1:1,31-Dec-10,13-Jun-17,2.666666666
WIPRO,EQ,2,Bonus 1:3,13-Jun-17,06-Mar-19,1.333333333
WOCKPHARMA,EQ,5,Rights 3:10@ Premium Rs 220 Per Share,31-Dec-10,08-Mar-22,1.085
XPROINDIA,EQ,10,Bonus 1:2,31-Dec-10,01-Jul-22,1.5
YESBANK,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,21-Sep-17,5
ZENSARTECH,EQ,2,Face Value Split (Sub-Division) - From Rs 10 /- Per Share To Rs 2/- Per Share,31-Dec-10,07-Sep-18,5
ZIMLAB,EQ,10,Bonus 2:1,31-Dec-10,22-Dec-22,3
ZODIACLOTH,EQ,10,Bonus 1:2,31-Dec-10,27-Sep-11,1.5
ZYLOG,EQ,5,Face Value Split From Rs 10 To Rs 5,31-Dec-10,29-Jun-12,2
