Symbol,Series,Face Value,Purpose,Ex-date,Multiplier
BHAGERIA,EQ,5,Fv Splt Frm Rs 10 To Rs 5,26-Oct-16,2
BHAGERIA,EQ,5,Bonus 1:1,17-Jul-19,2
BHARATFORG,EQ,2,Bonus 1:1,28-Sep-17,2
BHEL,EQ,2,Face Value Split From Rs.10/- To Rs.2/-,03-Oct-11,5
BHEL,EQ,2,Bonus 1:2,28-Sep-17,1.5
BIGBLOC,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,15-Nov-21,5
BILENERGY,EQ,1,Face Value Split From Rs.10/- To Re. 1/-,26-Mar-13,10
BILENERGY,EQ,1,Bonus 1:1,11-Jan-18,2
BILPOWER,EQ,10,Bonus 1:1,04-Oct-12,2
BIOCON,EQ,5,Bonus 2:1,15-Jun-17,3
BIOCON,EQ,5,Bonus 1:1,12-Jun-19,2
BLS,EQ,1,Face Value Split From Rs 10/- Per Share To Re 1/- Per Share,26-Apr-17,10
BLS,EQ,1,Bonus 1:1,13-May-22,2
BOMDYEING,EQ,2,Face Value Split From Rs.10/- To Rs.2/-,30-Oct-12,5
BORORENEW,EQ,1,Bonus 3:1,02-Aug-18,4
BPCL,EQ,10,Annual General Meeting/ Dividend Rs 11/- Per Share/ Bonus 1:1,13-Jul-12,2
BPCL,EQ,10,Bonus 1:1,13-Jul-16,2
BPCL,EQ,10,Bonus 1:2,13-Jul-17,1.5
BRIGADE,EQ,10,Bonus 1:2,28-Aug-19,1.5
BRITANNIA,EQ,1,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share,29-Nov-18,2
BSE,EQ,2,Bonus 2:1,21-Mar-22,3
BSLIMITED,EQ,1,Bonus 1:1,30-Sep-13,2
BSLIMITED,EQ,1,Face Value Split From Rs 10/- To Re 1/-,21-Jan-14,10
BSOFT,EQ,2,Bonus 1:1,13-Mar-12,2
CANFINHOME,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,12-Oct-17,5
CAPLIPOINT,EQ,2,Fv Splt Frm Rs 10 To Rs 2,19-Oct-16,5
CARBORUNIV,EQ,1,Face Value Split From Rs.2/- To Re.1/-,05-Oct-11,2
CASTEXTECH,EQ,2,Bonus 1:1,21-Nov-11,2
CASTROL,EQ,10,Bonus 1:1,04-Sep-12,2
CASTROLIND,EQ,5,Bonus 1:1,21-Dec-17,2
CCL,EQ,2,Bonus 1:1 And Face Value Split From Rs.10/- To Rs.2/-,19-Aug-13,10
CESC,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,17-Sep-21,10
CGCL,EQ,2,Fv Splt Frm Rs 10 To Rs 2,23-Nov-16,5
CHOLAFIN,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,14-Jun-19,5
CLEDUCATE,EQ,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,30-Sep-21,2
CMAHENDRA,EQ,10,Bonus 1:1,18-Jun-15,2
CMC,EQ,10,Dividend Rs.20/- Per Share And Bonus 1:1,08-Jun-11,2
COLPAL,EQ,1,Bonus 1:1,23-Sep-15,2
COMPINFO,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,16-Feb-17,5
CONCOR,EQ,5,Bonus 1:2,06-Sep-13,1.5
CONCOR,EQ,5,Bonus 1:4,05-Apr-17,1.25
CONCOR,EQ,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,26-Jun-18,2
CONCOR,EQ,5,Bonus 1:4,04-Feb-19,1.25
CORALFINAC,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,03-Aug-17,5
CORPBANK,EQ,2,Face Valus Split (Sub-Division) - From Rs 10/- Per To Rs 2/- Per Share,22-Jan-15,5
COX&KINGS,EQ,5,Face Value Split From Rs.10/- To Rs.5/-,21-Jun-11,2
CRISIL,EQ,1,Face Value Split From Rs.10/- To Re.1/-,28-Sep-11,10
CUB,EQ,1,Bonus 1:10,13-Jul-17,1.1
CUB,EQ,1,Bonus 1:10,10-Jul-18,1.1
CUMMINSIND,EQ,2,Bonus 2:5,20-Sep-11,1.4
CUPID,EQ,10,Bonus 1:5,11-Oct-18,1.2
DAAWAT,EQ,1,Fv Splt Frm Rs 10 To Re 1,07-Feb-17,10
DAMODARIND,EQ,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,25-Oct-18,2
DECCANCE,EQ,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,11-Sep-17,2
DEEPAKNTR,EQ,2,Bonus 1 : 1 / Face Value Split From Rs 10/- Each To Rs 2/- Each,20-Jun-14,10
DFMFOODS,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,01-Nov-18,5
DHANUS,EQ,10,Bonus 12:5,29-Aug-11,3.4
DHFL,EQ,10,Bonus 1:1,09-Sep-15,2
DIAPOWER,EQ,10,Bonus 1:3,26-Aug-13,1.333333333
DISHMAN,EQ,2,Bonus 1:1,02-May-16,2
DIVISLAB,EQ,2,Bonus 1:1,23-Sep-15,2
DIXON,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,18-Mar-21,5
DOLLAR,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Aug-17,5
DPSCLTD,EQ,1,Bonus 22:1 And Face Value Split From Rs.10/- To Re.1/-,15-Dec-11,230
DTIL,EQ,10,Bonus 1:2,05-Aug-21,1.5
DUCON,EQ,1,Bonus 1:10,18-Apr-22,1.1
DWARKESH,EQ,1,Annual General Meeting/Dividend - Rs 10 Per Share/Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share (Purpose Revised),10-Aug-17,10
DYNPRO,EQ,10,Rights 1:20 @ Premium Rs. 440/-,12-May-22,1.004
EASEMYTRIP,EQ,2,Bonus 1:1,28-Feb-22,2
ECLERX,EQ,10,Bonus 1:3,17-Dec-15,1.333333333
EICHERMOT,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,24-Aug-20,10
ELGIEQUIP,EQ,1,Bonus 1:1,24-Sep-20,2
EMAMILTD,EQ,1,Bonus 1:2 And Dividend Rs.8/- Per Share,26-Jun-13,1.5
EMAMILTD,EQ,1,Bonus 1:1/Dividend- Rs 7 Per Share,21-Jun-18,2
ENGINERSIN,EQ,5,Bonus 1:1,30-Dec-16,2
ENTEGRA,EQ,10,Bonus 4:13,26-Sep-11,1.307692308
EPL,EQ,2,Bonus 1:1,20-Jun-18,2
ESSENTIA,EQ,1,Rights 33:13@ Premium Rs 0.80/-,04-May-22,1.058
EXCEL,EQ,1,Bonus 2:1,23-Jan-18,3
FCL,EQ,2,Bonus 1:1,12-Feb-15,2
FCL,EQ,2,Face Valus Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,11-Jun-15,5
FEDERALBNK,EQ,2,Face Value Split From Rs.10/- To Rs.2/-,17-Oct-13,5
FEDERALBNK,EQ,2,Bonus 1:1,08-Jul-15,2
FILATEX,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,27-Jun-18,5
FINPIPE,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,15-Apr-21,5
GABRIEL,EQ,1,Bonus 1:1,12-Jul-12,2
GAEL,EQ,1,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share,01-Oct-20,2
GAIL,EQ,10,Bonus 1:3,09-Mar-17,1.333333333
GAIL,EQ,10,Bonus 1:3,27-Mar-18,1.333333333
GAIL,EQ,10,Bonus 1:1,09-Jul-19,2
GAL,EQ,1,Face Value Split From Rs 10 To Re 1,13-Oct-16,10
GALLISPAT,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,07-Aug-18,10
GANESHHOUC,EQ,10,Bonus 1:2,14-Jul-16,1.5
GANGAFORGE,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,13-Sep-21,10
GAYAPROJ,EQ,2,Face Value Split From Rs 10/- Per Share To Rs 2/- Per Share,10-Feb-17,5
GICRE,EQ,5,Bonus 1:1/Dividend- Rs 13.5 Per Share,12-Jul-18,2
GLAXO,EQ,10,Bonus 1:1,11-Sep-18,2
GLOBE,EQ,2,Bonus 2:1 and Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,03-Aug-21,15
GLODYNE,EQ,6,Face Value Split From Rs.10/- To Rs.6/-,10-Feb-11,1.666666667
GMBREW,EQ,10,Dividend Rs 2.50/- Per Share / Bonus 1 : 4,16-May-14,1.25
GMBREW,EQ,10,Bonus 1:4,30-May-16,1.25
GMBREW,EQ,10,Bonus 1:4,21-May-18,1.25
GODFRYPHLP,EQ,2,Face Value Split From Rs 10/- Per Share To Rs 2/- Per Share,28-Nov-14,5
GODHA,EQ,1,Bonus 1:1,20-Jan-22,2
GODREJCP,EQ,1,Bonus 1:1,22-Jun-17,2
GODREJCP,EQ,1,Bonus 1:2,12-Sep-18,1.5
GODREJIND,EQ,1,Bonus 1 : 1250,05-Jan-15,1.0008
GODREJPROP,EQ,5,Face Value Split From Rs.10/- To Rs.5/-,21-Nov-13,2
GOENKA,EQ,1,Face Value Split From Rs.10/- To Re.1/-,25-Oct-12,10
GPIL,EQ,5,Bonus 1:1 and Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,26-Oct-21,4
